time;mode;x_int;pitch;vel;ang_vel_y;xRef_x;xRef_theta;xRef_dx;u_cmd;u_L;u_R;com_x;com_y;com_z;roll;pitch_imu;yaw;v_ref_cmd;v_L_ref;v_R_ref
7.180671;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.182556;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.184555;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.186587;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.188584;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.190557;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.192591;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.194627;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.196645;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.198650;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
7.200682;INIT;12.900821;1.118465;0.000000;0.000000;0.000000;0.891789;0.000000;5.000000;5.000000;5.000000;261.929876;-3.920338;0.066393;-0.000000;1.118465;-0.000104;0.000000;0.000000;0.000000
